T;Inflacion_China;Inflacion_Peru;Tipo_cambio;Dif_Inflacion
2002M01;-0.010100;-0.008400;-0.017800;0.001700
2002M02;-0.000200;-0.011100;-0.014600;-0.010900
2002M03;-0.007300;-0.010800;-0.018000;-0.003500
2002M04;-0.012200;0.000600;-0.033700;0.012800
2002M05;-0.010200;0.001700;-0.041300;0.011900
2002M06;-0.007200;0.000000;-0.014200;0.007200
2002M07;-0.009200;-0.001400;0.008500;0.007800
2002M08;-0.007200;0.002600;0.022500;0.009800
2002M09;-0.006300;0.006800;0.036900;0.013000
2002M10;-0.007300;0.013600;0.044800;0.020900
2002M11;-0.006300;0.014600;0.041700;0.020800
2002M12;-0.004300;0.015200;0.022900;0.019500
2003M01;0.003700;0.022800;0.009900;0.019200
2003M02;0.001700;0.028100;0.002000;0.026400
2003M03;0.008800;0.033900;0.006600;0.025100
2003M04;0.009800;0.025900;0.007500;0.016100
2003M05;0.005700;0.024100;0.008600;0.018400
2003M06;0.002700;0.021700;-0.000500;0.019000
2003M07;0.004700;0.019800;-0.017500;0.015100
2003M08;0.008700;0.019000;-0.025200;0.010200
2003M09;0.010700;0.019800;-0.038200;0.009000
2003M10;0.017800;0.012900;-0.037800;-0.004800
2003M11;0.029000;0.018700;-0.029400;-0.010300
2003M12;0.032100;0.024800;-0.012200;-0.007200
2004M01;0.032100;0.028000;-0.007700;-0.004100
2004M02;0.020800;0.034200;-0.000100;0.013400
2004M03;0.030100;0.027600;-0.004000;-0.002500
2004M04;0.037300;0.027900;0.001500;-0.009400
2004M05;0.043600;0.031900;0.001700;-0.011700
2004M06;0.048800;0.042500;-0.000400;-0.006300
2004M07;0.052000;0.046200;-0.008600;-0.005800
2004M08;0.052000;0.045900;-0.024300;-0.006100
2004M09;0.051000;0.040300;-0.035400;-0.010700
2004M10;0.041600;0.039500;-0.045200;-0.002100
2004M11;0.028200;0.040800;-0.048100;0.012600
2004M12;0.023100;0.034800;-0.054700;0.011700
2005M01;0.018000;0.030300;-0.057300;0.012300
2005M02;0.038400;0.016800;-0.064400;-0.021600
2005M03;0.026000;0.018700;-0.059300;-0.007200
2005M04;0.017800;0.020200;-0.061000;0.002300
2005M05;0.016800;0.017900;-0.066600;0.001100
2005M06;0.015800;0.014800;-0.064500;-0.000900
2005M07;0.017800;0.014000;-0.049600;-0.003800
2005M08;0.012800;0.012200;-0.019900;-0.000600
2005M09;0.008700;0.011100;0.007600;0.002300
2005M10;0.012800;0.012900;0.041500;0.000100
2005M11;0.012800;0.010600;0.044200;-0.002200
2005M12;0.015800;0.015000;0.069600;-0.000900
2006M01;0.022900;0.018900;0.065300;-0.004000
2006M02;0.009800;0.027100;0.037600;0.017200
2006M03;0.009800;0.025000;0.055300;0.015200
2006M04;0.014900;0.029100;0.055900;0.014200
2006M05;0.015900;0.022300;0.040400;0.006400
2006M06;0.019000;0.018300;0.037300;-0.000700
2006M07;0.015900;0.015400;0.027100;-0.000500
2006M08;0.016900;0.018800;0.008900;0.001800
2006M09;0.014900;0.020000;0.001200;0.005100
2006M10;0.011900;0.018900;-0.019800;0.007000
2006M11;0.018000;0.015300;-0.019200;-0.002600
2006M12;0.028100;0.011300;-0.033800;-0.016800
2007M01;0.022000;0.006500;-0.025700;-0.015600
2007M02;0.027100;0.003400;0.007000;-0.023700
2007M03;0.033300;0.002400;-0.009500;-0.030900
2007M04;0.030200;-0.000900;-0.010200;-0.031100
2007M05;0.034400;0.009400;0.008900;-0.025000
2007M06;0.043700;0.015800;0.018800;-0.027900
2007M07;0.056300;0.022100;0.027500;-0.034200
2007M08;0.065800;0.022400;0.027700;-0.043400
2007M09;0.063600;0.027500;0.018400;-0.036100
2007M10;0.065800;0.030800;-0.017100;-0.035000
2007M11;0.070000;0.034600;-0.013100;-0.035400
2007M12;0.065800;0.039700;-0.013100;-0.026100
2008M01;0.071100;0.041500;-0.006300;-0.029600
2008M02;0.088000;0.048300;-0.014300;-0.039800
2008M03;0.083700;0.055500;-0.034700;-0.028200
2008M04;0.085900;0.055300;-0.045900;-0.030600
2008M05;0.078300;0.053900;-0.025800;-0.024400
2008M06;0.071800;0.056700;0.009300;-0.015100
2008M07;0.063300;0.057900;-0.001100;-0.005400
2008M08;0.049700;0.062200;0.012600;0.012600
2008M09;0.046500;0.062700;0.041800;0.016100
2008M10;0.040300;0.065500;0.118000;0.025200
2008M11;0.024800;0.067800;0.120000;0.043000
2008M12;0.012600;0.066000;0.125500;0.053400
2009M01;0.009600;0.065300;0.131500;0.055700
2009M02;-0.016000;0.054900;0.167400;0.070900
2009M03;-0.012000;0.047800;0.168400;0.059800
2009M04;-0.015000;0.046300;0.150600;0.061300
2009M05;-0.014000;0.042100;0.091000;0.056100
2009M06;-0.017000;0.030600;0.044000;0.047600
2009M07;-0.017900;0.026800;0.058500;0.044700
2009M08;-0.012000;0.018800;0.023000;0.030800
2009M09;-0.008100;0.012100;-0.018700;0.020200
2009M10;-0.006100;0.007100;-0.065600;0.013100
2009M11;0.005000;0.002900;-0.066900;-0.002000
2009M12;0.017000;0.002400;-0.073900;-0.014600
2010M01;0.014000;0.004300;-0.092100;-0.009700
2010M02;0.026200;0.008400;-0.117000;-0.017800
2010M03;0.022000;0.007600;-0.104100;-0.014400
2010M04;0.026200;0.007600;-0.078800;-0.018600
2010M05;0.028200;0.010400;-0.050000;-0.017900
2010M06;0.027200;0.016400;-0.048600;-0.010700
2010M07;0.031300;0.018300;-0.055400;-0.013000
2010M08;0.032300;0.023000;-0.044500;-0.009300
2010M09;0.034300;0.023700;-0.028500;-0.010700
2010M10;0.042600;0.020900;-0.005500;-0.021700
2010M11;0.050900;0.022100;-0.002300;-0.028800
2010M12;0.045700;0.020800;0.004200;-0.024900
2011M01;0.050000;0.021700;0.008800;-0.028200
2011M02;0.050700;0.022200;0.006600;-0.028500
2011M03;0.056000;0.026600;0.017700;-0.029400
2011M04;0.055000;0.033400;0.036600;-0.021600
2011M05;0.057000;0.030700;0.024400;-0.026300
2011M06;0.066700;0.029100;0.024900;-0.037600
2011M07;0.067100;0.033500;0.018700;-0.033600
2011M08;0.063700;0.033500;0.035800;-0.030300
2011M09;0.062400;0.037200;0.038600;-0.025200
2011M10;0.056000;0.042100;0.027400;-0.013900
2011M11;0.042500;0.046500;0.012300;0.003900
2011M12;0.040300;0.047500;0.006800;0.007200
2012M01;0.045400;0.042300;0.010100;-0.003100
2012M02;0.031300;0.041700;0.012200;0.010400
2012M03;0.035200;0.042300;0.000300;0.007100
2012M04;0.033300;0.040800;-0.021500;0.007600
2012M05;0.029400;0.041400;-0.008500;0.012000
2012M06;0.020600;0.040000;-0.009300;0.019500
2012M07;0.017000;0.032800;-0.017900;0.015700
2012M08;0.020800;0.035200;-0.034700;0.014400
2012M09;0.019100;0.037500;-0.044900;0.018400
2012M10;0.017100;0.032500;-0.046500;0.015400
2012M11;0.020700;0.026600;-0.032700;0.005900
2012M12;0.025300;0.026400;-0.042100;0.001100
2013M01;0.020200;0.028700;-0.046700;0.008500
2013M02;0.032400;0.024500;-0.036800;-0.007900
2013M03;0.021200;0.025900;-0.023700;0.004700
2013M04;0.024200;0.023100;-0.014700;-0.001100
2013M05;0.020900;0.024700;0.007900;0.003700
2013M06;0.026600;0.027700;0.053300;0.001100
2013M07;0.026700;0.032500;0.079800;0.005800
2013M08;0.025200;0.032800;0.100400;0.007700
2013M09;0.030200;0.028300;0.099000;-0.001900
2013M10;0.032300;0.030300;0.100500;-0.001900
2013M11;0.029500;0.029600;0.104500;0.000000
2013M12;0.025100;0.028600;0.115700;0.003500
2014M01;0.025100;0.030600;0.132200;0.005600
2014M02;0.019100;0.037800;0.121500;0.018700
2014M03;0.023100;0.033700;0.106200;0.010600
2014M04;0.017000;0.035200;0.091900;0.018200
2014M05;0.024100;0.035600;0.059900;0.011400
2014M06;0.023100;0.034600;0.019400;0.011500
2014M07;0.022100;0.033300;0.004100;0.011200
2014M08;0.019000;0.026800;0.006200;0.007800
2014M09;0.016100;0.027300;0.031700;0.011200
2014M10;0.015100;0.030900;0.048800;0.015800
2014M11;0.013000;0.031600;0.044200;0.018500
2014M12;0.014100;0.032300;0.062100;0.018200
2015M01;0.007100;0.030700;0.065900;0.023600
2015M02;0.014100;0.027700;0.090800;0.013600
2015M03;0.013200;0.030300;0.099200;0.017100
2015M04;0.015300;0.030200;0.121100;0.015000
2015M05;0.012200;0.033700;0.139400;0.021500
2015M06;0.013200;0.035400;0.138800;0.022200
2015M07;0.017300;0.035600;0.151300;0.018300
2015M08;0.020300;0.040400;0.124200;0.020000
2015M09;0.016200;0.039100;0.085500;0.022900
2015M10;0.012100;0.036600;0.081700;0.024500
2015M11;0.015200;0.041800;0.101300;0.026500
2015M12;0.016200;0.044000;0.084100;0.027800
2016M01;0.018100;0.046100;0.066000;0.028000
2016M02;0.021900;0.044700;0.067600;0.022800
2016M03;0.023000;0.042900;0.041700;0.019900
2016M04;0.023100;0.039100;0.001200;0.016000
2016M05;0.021100;0.035400;-0.009000;0.014300
2016M06;0.019100;0.033400;-0.027200;0.014300
2016M07;0.017000;0.029600;-0.050400;0.012600
2016M08;0.012900;0.029400;-0.023900;0.016500
2016M09;0.018900;0.031200;0.003100;0.012300
2016M10;0.022000;0.034000;-0.019400;0.012000
2016M11;0.023000;0.033500;-0.050200;0.010500
2016M12;0.019900;0.032400;-0.064300;0.012500
2017M01;0.025700;0.030900;-0.073900;0.005200
2017M02;0.007800;0.032500;-0.114700;0.024700
2017M03;0.009800;0.039800;-0.096300;0.030000
2017M04;0.011800;0.036900;-0.075300;0.025200
2017M05;0.016700;0.030400;-0.069700;0.013600
2017M06;0.016800;0.027300;-0.045400;0.010600
2017M07;0.013800;0.028500;-0.028600;0.014800
2017M08;0.017700;0.031700;-0.030700;0.014000
2017M09;0.016600;0.029400;-0.025000;0.012800
2017M10;0.018600;0.020400;-0.020800;0.001800
2017M11;0.017600;0.015400;-0.017800;-0.002200
2017M12;0.018500;0.013600;0.003700;-0.004900
2018M01;0.014500;0.012500;0.032800;-0.001900
2018M02;0.029000;0.011800;0.084800;-0.017200
2018M03;0.020300;0.003700;0.087500;-0.016700
2018M04;0.018400;0.004900;0.088300;-0.013600
2018M05;0.015500;0.009300;0.081100;-0.006200
2018M06;0.017500;0.014300;0.054000;-0.003200
2018M07;0.021400;0.016200;0.016400;-0.005200
2018M08;0.023200;0.010800;-0.012400;-0.012400
2018M09;0.024000;0.012800;-0.022800;-0.011200
2018M10;0.025000;0.018400;-0.021600;-0.006500
2018M11;0.021100;0.021700;-0.005900;0.000600
2018M12;0.019100;0.021900;-0.007600;0.002800
2019M01;0.017100;0.021300;-0.014900;0.004200
2019M02;0.015000;0.020100;-0.041600;0.005000
2019M03;0.022800;0.022400;-0.043100;-0.000400
2019M04;0.025700;0.025900;-0.040800;0.000300
2019M05;0.027600;0.027300;-0.055500;-0.000400
2019M06;0.026700;0.023000;-0.047500;-0.003700
2019M07;0.027600;0.021100;-0.019000;-0.006500
2019M08;0.028300;0.020400;-0.003400;-0.007900
2019M09;0.030000;0.018600;-0.023000;-0.011400
2019M10;0.037500;0.018800;-0.013100;-0.018700
2019M11;0.045100;0.018700;-0.011900;-0.026400
2019M12;0.044100;0.019000;-0.021800;-0.025100
